feature,importance
Hyperlipidemia,1.1953517585874243
Bone Mass (BM),0.9937914049086275
Coronary Artery Disease (CAD),0.8458466292850301
Intracellular Water (ICW),0.8051731568833678
Gender,0.7994227472717356
Hypothyroidism,0.7970363554620298
Diabetes Mellitus (DM),0.6868775583606962
Total Body Fat Ratio (TBFR) (%),0.5543938686974312
Height,0.5004442183998549
Vitamin D,0.4652517456131259
Total Fat Content (TFC),0.4538421235274378
Muscle Mass (MM),0.3834503681767714
Extracellular Water (ECW),0.35271676611793656
Lean Mass (LM) (%),0.332117294685461
Hepatic Fat Accumulation (HFA),0.3045668351405418
Extracellular Fluid/Total Body Water (ECF/TBW),0.30211479848571204
Body Mass Index (BMI),0.2490744611209227
Body Protein Content (Protein) (%),0.23754811292717004
Hemoglobin (HGB),0.22799847005510024
High Density Lipoprotein (HDL),0.21650332082463256
Visceral Muscle Area (VMA) (Kg),0.20069937901239063
Total Cholesterol (TC),0.19573298059894143
Visceral Fat Rating (VFR),0.16350773844681243
Total Body Water (TBW),0.1558767257180418
Triglyceride,0.1276334945635847
Aspartat Aminotransferaz (AST),0.11936693017835066
Low Density Lipoprotein (LDL),0.11276459030981101
Age,0.1072784644086129
Alanin Aminotransferaz (ALT),0.10568895681632637
Comorbidity,0.08450689101165082
Visceral Fat Area (VFA),0.0682175830582921
Alkaline Phosphatase (ALP),0.06143440321504227
Weight,0.048863286293017456
Glucose,0.017635513164885236
Obesity (%),0.006619721819105079
C-Reactive Protein (CRP),0.0010155470507621546
Glomerular Filtration Rate (GFR),0.00011780057432935406
Creatinine,5.2501333042386235e-05
